"IPL_Batsman","IPL_Runs","IPL_Average","IPL_Highest","IPL_Strikerate","IPL_Boundaries","IPL_Sixes","IPL_Innings"
"Virat Kohli","973","81.08","113","152.03","83","38","16"
"David Warner","848","60.57","93*","151.42","88","31","17"
"AB de Villiers","687","52.84","129*","168.79","57","37","16"
"Shikhar Dhawan","501","38.53","82*","116.78","51","8","17"
"Gautam Gambhir","501","38.53","90*","121.89","54","6","15"
"Rohit Sharma","489","44.45","85*","132.88","49","16","14"
"Ajinkya Rahane","480","43.63","74","126.64","54","9","14"
"Murali Vijay","453","34.84","89","124.45","50","10","14"
"Quinton de Kock","445","37.08","108","136.08","52","13","13"
"Suresh Raina","399","28.50","75","127.88","39","10","15"
"Lokesh Rahul","397","44.11","68*","146.49","37","16","12"
"Robin Uthappa","394","26.26","72","136.33","45","8","15"
"Aaron Finch","393","39.30","74","131.43","45","11","12"
"Yusuf Pathan","361","72.20","63*","145.56","33","13","13"
"Karun Nair","357","35.70","83*","120.20","40","6","12"
"Brendon McCullum","354","22.12","60","135.11","38","16","16"
"Dinesh Karthik","335","25.76","53","125.93","38","3","15"
"Ambati Rayudu","334","30.36","65","120.14","28","12","12"
"Dwayne Smith","324","29.45","73","146.60","35","16","12"
"Sanju Samson","291","26.45","60","112.35","20","8","14"
"MS Dhoni","284","40.57","64*","135.23","18","14","12"
"Steve Smith","270","45.00","101","153.40","27","8","7"
"Wriddhiman Saha","270","24.54","56","127.35","29","1","12"
"Jos Buttler","255","23.18","41","138.58","23","11","14"
"Manish Pandey","248","31.00","52","135.51","17","9","11"
"Krunal Pandya","237","39.50","86","191.12","22","13","9"
"Yuvraj Singh","236","26.22","44","131.84","22","13","10"
"Chris Gayle","227","22.70","76","151.33","17","21","10"
"Kieron Pollard","207","25.87","51*","143.75","11","16","12"
"Francois du Plessis","206","34.33","69","127.16","17","9","6"
"Rishabh Pant","198","24.75","69","130.26","19","6","10"
"Chris Morris","195","65.00","82*","178.89","15","12","7"
"Ravindra Jadeja","191","21.22","36*","107.30","14","4","15"
"JP Duminy","191","38.20","49*","122.43","13","3","8"
"Andre Russell","188","26.85","39*","164.91","10","15","8"
"Suryakumar Yadav","186","26.57","60","130.06","19","5","11"
"Moises Henriques","182","15.16","31*","115.18","15","6","15"
"Shane Watson","179","13.76","36","133.58","14","12","15"
"Glenn Maxwell","179","19.88","68","144.35","14","8","11"
"Parthiv Patel","177","17.70","81","116.44","23","4","10"
"Saurabh Tiwary","170","24.28","57","120.56","17","4","7"
"David Miller","161","16.10","31","122.90","11","4","13"
"Manan Vohra","161","23.00","51","122.90","19","3","7"
"Shaun Marsh","159","31.80","56*","118.65","13","4","6"
"Hashim Amla","157","26.16","96","131.93","20","4","6"
"Thisara Perera","150","21.42","34","161.29","7","11","10"
"Marcus Stoinis","146","36.50","52","135.18","13","4","5"
"Deepak Hooda","144","10.28","34","119.00","9","5","15"
"Naman Ojha","136","13.60","37","98.55","7","5","13"
"Usman Khawaja","127","21.16","30","127.00","14","3","6"
"Kane Williamson","124","20.66","50","101.63","14","0","6"
"Eoin Morgan","123","24.60","51","117.14","8","4","6"
"Sachin Baby","119","23.80","33","150.63","9","5","6"
"Shakib Al Hasan","114","22.80","66*","107.54","7","5","7"
"Gurkeerat Mann Singh","113","22.60","51","131.39","11","3","6"
"Axar Patel","111","15.85","36*","144.15","4","8","10"
"Nitish Rana","104","34.66","70","138.66","7","8","3"
"Dwayne Bravo","99","12.37","22*","120.73","11","1","13"
"Harbhajan Singh","92","30.66","45*","109.52","11","2","7"
"Sam Billings","88","22.00","54","137.50","4","4","4"
"George Bailey","84","21.00","34","85.71","9","2","5"
"Carlos Brathwaite","83","13.83","34","218.42","6","8","6"
"James Faulkner","77","25.66","32","130.50","7","0","5"
"Kevin Pietersen","73","36.50","37","119.67","4","3","4"
"Sarfaraz Khan","66","33.00","35*","212.90","7","4","4"
"Ben Cutting","65","32.50","39*","191.17","4","6","4"
"Stuart Binny","63","21.00","21","161.53","5","4","6"
"Martin Guptill","57","19.00","48","103.63","3","3","3"
"Pawan Negi","57","28.50","19*","96.61","2","3","6"
"Travis Head","54","27.00","37","135.00","3","2","3"
"Bipul Sharma","51","25.50","27*","204.00","1","5","4"
"Ashish Reddy","47","23.50","32","162.06","2","4","3"
"Hardik Pandya","44","6.28","9","69.84","4","0","9"
"Bhuvneshwar Kumar","43","7.16","21","159.25","6","1","8"
"Ishan Kishan","42","8.40","27","102.43","5","0","5"
"Kedar Jadhav","42","-","25*","131.25","2","2","3"
"Ravichandran Ashwin","41","20.50","29","107.89","3","1","6"
"Iqbal Abdulla","37","-","33*","137.03","4","1","2"
"Karn Sharma","36","-","26*","120.00","3","1","3"
"Rajat Bhatia","34","34.00","21","170.00","1","2","6"
"Mitchell McClenaghan","34","11.33","20","147.82","2","3","5"
"Mohit Sharma","32","8.00","15","123.07","3","1","6"
"Shreyas Iyer","30","5.00","19","69.76","2","1","6"
"Colin Munro","30","10.00","16","100.00","3","0","3"
"Tim Southee","30","10.00","25","157.89","1","2","4"
"Praveen Kumar","28","7.00","15","103.70","4","0","7"
"Mayank Agarwal","27","9.00","10","108.00","3","1","3"
"Piyush Chawla","27","9.00","11","103.84","4","0","3"
"Chris Lynn","25","25.00","15","113.63","0","1","2"
"Eklavya Dwivedi","24","12.00","19","171.42","2","2","2"
"Rajagopal Sathish","24","8.00","10","100.00","1","1","3"
"Dhawal Kulkarni","23","11.50","6*","153.33","2","0","5"
"Nikhil Naik","23","11.50","22","74.19","1","0","2"
"Jason Holder","22","5.50","13","115.78","2","1","4"
"Akshdeep Nath","20","6.66","12","74.07","1","0","3"
"Pradeep Sahu","19","19.00","18*","146.15","1","1","2"
"Albie Morkel","16","16.00","16","177.77","0","2","1"
"Farhaan Behardien","14","7.00","9*","107.69","2","0","3"
"Rishi Dhawan","14","-","11*","233.33","0","1","2"
"KC Cariappa","13","13.00","12*","118.18","0","1","2"
"Vinay Kumar","13","13.00","12","108.33","0","1","2"
"Kyle Abbott","13","13.00","12*","162.50","0","1","3"
"Irfan Pathan","11","3.66","7","84.61","0","0","3"
"Parveez Rasool","10","10.00","10","111.11","1","0","1"
"Umesh Yadav","9","9.00","7*","180.00","0","1","2"
"Nathan Coulter-Nile","9","-","7*","64.28","1","0","2"
"Jasprit Bumrah","8","8.00","6","72.72","1","0","2"
"Aditya Tare","8","4.00","8","53.33","1","0","2"
"Lendl Simmons","8","8.00","8","100.00","0","1","1"
"Sandeep Sharma","8","-","5*","88.88","0","0","4"
"Mitchell Marsh","7","7.00","7","63.63","0","0","1"
"Pravin Tambe","7","-","7*","36.84","1","0","1"
"Sunil Narine","7","7.00","4","53.84","0","0","4"
"Zaheer Khan","6","3.00","4","46.15","1","0","2"
"Peter Handscomb","6","6.00","6","50.00","0","0","1"
"Jayant Yadav","6","3.00","5","60.00","0","0","2"
"David Wiese","5","-","5*","125.00","0","0","1"
"Imran Tahir","5","5.00","5","71.42","1","0","1"
"Mitchell Johnson","5","2.50","4","35.71","0","0","3"
"Amit Mishra","4","2.00","3","28.57","0","0","2"
"Barinder Sran","4","-","2*","100.00","0","0","4"
"Chris Jordan","3","3.00","3","75.00","0","0","1"
"Ankit Sharma","3","-","3*","100.00","0","0","1"
"Shreyas Gopal","2","2.00","2","12.50","0","0","1"
"Mohammed Shami","2","-","2*","50.00","0","0","2"
"Shadab Jakati","1","-","1*","50.00","0","0","1"
"Kane Richardson","1","-","1*","100.00","0","0","1"
"Shahbaz Nadeem","1","-","1*","20.00","0","0","1"
"Morne Morkel","1","-","1*","100.00","0","0","2"
"Ashish Nehra","1","-","1*","100.00","0","0","2"
"Dale Steyn","1","1.00","1","50.00","0","0","1"
"Scott Boland","0","-","0*","-","0","0","0"
"Brad Hogg","0","-","0*","-","0","0","1"
"Jagadeesha Suchith","0","-","0*","-","0","0","0"
"Mandeep Singh","0","-","0*","-","0","0","0"
"Jaydev Unadkat","0","-","0*","-","0","0","0"
"Mustafizur Rahman","0","-","0*","-","0","0","0"
"Ashok Dinda","0","-","0*","-","0","0","0"
"Kuldeep Yadav","0","-","0*","-","0","0","0"
"Anureet Singh","0","-","0*","-","0","0","0"
"Adam Zampa","0","0.00","0*","0.00","0","0","1"
"Sarabjit Ladda","0","-","0*","-","0","0","0"
"Harshal Patel","0","-","0*","-","0","0","1"
"John Hastings","0","-","0*","-","0","0","0"
"RP Singh","0","-","0*","-","0","0","0"
"Shivil Kaushik","0","0.00","0*","0.00","0","0","2"
"Sreenath Aravind","0","-","0*","-","0","0","0"
"Unmukt Chand","0","0.00","0*","0.00","0","0","1"
"Pradeep Sangwan","0","-","0*","-","0","0","0"
"Deepak Chahar","0","-","0*","-","0","0","0"
"Ankit Rajpoot","0","-","0*","-","0","0","0"
"Yuzvendra Chahal","0","-","0*","-","0","0","0"
"Tabraiz Shamsi","0","-","0*","-","0","0","0"
"Swapnil Singh","0","0.00","0*","0.00","0","0","1"
"Adam Milne","0","-","0*","-","0","0","0"
"Murugan Ashwin","0","0.00","0*","0.00","0","0","1"
"Ishant Sharma","0","-","0*","-","0","0","1"
"Trent Boult","0","-","0*","-","0","0","0"
"Varun Aaron","0","-","0*","-","0","0","1"